path	options	metrics
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'cg', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31269030.0, 'norm': 3.315499e-08, 'time': 0.01180945}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'cg', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27341170.0, 'norm': 1.08055e-08, 'time': 0.0003219418}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'cg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 35003970.0, 'norm': 1.845964e-14, 'time': 0.01232316}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'cg', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28347020.0, 'norm': 1.989054e-12, 'time': 0.0005412206}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'bicg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27244750.0, 'norm': 0.2337102, 'time': 0.005109292}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'bicg', 'pc_type': 'asm'}	{'iter': 2, 'mem': 30040760.0, 'norm': 1.989054e-12, 'time': 0.001640067}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'bicg', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31284510.0, 'norm': 3.315499e-08, 'time': 0.01295032}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'bicg', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27803160.0, 'norm': 1.08055e-08, 'time': 0.0003818269}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'bicg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 35604810.0, 'norm': 2.376841e-14, 'time': 0.01262839}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'bicg', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28120920.0, 'norm': 1.989054e-12, 'time': 0.0006959969}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'richardson', 'pc_type': 'none'}	{'iter': 1, 'mem': 27461020.0, 'norm': 164357200000.0, 'time': 6.417072e-05}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'richardson', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29556700.0, 'norm': 1.354664e-11, 'time': 0.001375806}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'richardson', 'pc_type': 'gamg'}	{'iter': 5, 'mem': 31088760.0, 'norm': 0.0, 'time': 0.01206681}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'richardson', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27537290.0, 'norm': 2.561906e-07, 'time': 0.0001769367}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'richardson', 'pc_type': 'lu'}	{'iter': 1, 'mem': 34720850.0, 'norm': 1.845964e-14, 'time': 0.01221452}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'richardson', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28219230.0, 'norm': 1.354664e-11, 'time': 0.0005458324}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'gmres', 'pc_type': 'none'}	{'iter': 66, 'mem': 30578440.0, 'norm': 0.2054552, 'time': 0.006181893}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'gmres', 'pc_type': 'asm'}	{'iter': 2, 'mem': 30502090.0, 'norm': 2.097467e-12, 'time': 0.001433502}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'gmres', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31870280.0, 'norm': 3.122357e-08, 'time': 0.01223674}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'gmres', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 29242120.0, 'norm': 8.413411e-09, 'time': 0.0004189076}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'gmres', 'pc_type': 'lu'}	{'iter': 1, 'mem': 34959690.0, 'norm': 2.475554e-12, 'time': 0.01206108}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'gmres', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 29517370.0, 'norm': 2.097467e-12, 'time': 0.0005263717}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'chebyshev', 'pc_type': 'none'}	{'iter': 291, 'mem': 30211440.0, 'norm': 0.2353142, 'time': 0.00964005}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'chebyshev', 'pc_type': 'asm'}	{'iter': 23, 'mem': 31540140.0, 'norm': 4.007273e-06, 'time': 0.003157446}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'chebyshev', 'pc_type': 'gamg'}	{'iter': 23, 'mem': 32404890.0, 'norm': 5.029729e-06, 'time': 0.01895944}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'chebyshev', 'pc_type': 'jacobi'}	{'iter': 27, 'mem': 29756380.0, 'norm': 6.259509e-06, 'time': 0.001294117}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'chebyshev', 'pc_type': 'lu'}	{'iter': 23, 'mem': 35944690.0, 'norm': 4.002665e-06, 'time': 0.0185332}
combustion/PDRFoam/flamePropagationWithObstacles/k/0	{'ksp_type': 'chebyshev', 'pc_type': 'ilu'}	{'iter': 23, 'mem': 29971740.0, 'norm': 4.007273e-06, 'time': 0.001879458}

combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'cg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27144520.0, 'norm': 0.237291, 'time': 0.00324011}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'cg', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29955030.0, 'norm': 1.989048e-12, 'time': 0.001454671}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'cg', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31357130.0, 'norm': 3.529957e-08, 'time': 0.01194291}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'cg', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27586720.0, 'norm': 1.080548e-08, 'time': 0.0003356667}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'cg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 34979180.0, 'norm': 2.62886e-14, 'time': 0.01209555}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'cg', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28334740.0, 'norm': 1.989048e-12, 'time': 0.000539416}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'bicg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27308360.0, 'norm': 0.237291, 'time': 0.005064582}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'bicg', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29800490.0, 'norm': 1.989048e-12, 'time': 0.001632002}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'bicg', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31478210.0, 'norm': 3.529957e-08, 'time': 0.01317636}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'bicg', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27565100.0, 'norm': 1.080548e-08, 'time': 0.0003831531}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'bicg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 37512440.0, 'norm': 2.62886e-14, 'time': 0.01240253}
combustion/PDRFoam/flamePropagationWithObstacles/ft/0	{'ksp_type': 'bicg', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28034740.0, 'norm': 1.989048e-12, 'time': 0.000698605}
